id,prompt,intents
310,Help me understand any anomalies downtown CBD without the minor events.,['traffic_anomaly']
311,Not sure but looks like the speed drop along the PIE for the evening peak?,[]
312,Someone reported any anomalies near CTE Braddell without the minor events.,"['traffic_anomaly', 'spatio_temporal']"
313,Can we confirm forecast for the next hour at AYE westbound since morning?,['traffic_forecasting']
314,Pls show if sensors are behaving weird near Sengkang for the evening peak?,"['traffic_anomaly', 'spatio_temporal']"
315,Do we know post-incident recovery around Marina Bay no visualisation needed.,"['incident_detection', 'spatio_temporal', 'visualization']"
316,"Hey, can you check incident severity along the PIE right now?","['incident_detection', 'incident_classification']"
317,Is there any update on the impact level around Toa Payoh,"['spatio_temporal', 'traffic_impact']"
318,Can you check travel time delays around Toa Payoh,"['spatio_temporal', 'traffic_impact']"
319,Pls show the spatio-temporal pattern around Punggol just now?,['spatio_temporal']
320,"Hey, can you check recent breakdowns near CTE Braddell but don't forecast anything yet.","['incident_detection', 'spatio_temporal']"
321,Someone reported if sensors are behaving weird and check weather too.,"['traffic_anomaly', 'meta_attributes']"
322,Pls show the impact level around Jurong East if possible.,"['spatio_temporal', 'traffic_impact']"
323,Someone reported the speed drop around Woodlands checkpoint excluding heavy traffic alerts.,['spatio_temporal']
324,Looks like any anomalies at AYE westbound since morning?,['traffic_anomaly']
325,Someone reported what caused the jam central region right now?,"['causal_analysis', 'traffic_impact']"
326,Any idea why roadwork impact along the PIE excluding heavy traffic alerts.,"['causal_analysis', 'traffic_impact']"
327,Do we know traffic situation around Jurong East excluding heavy traffic alerts.,['spatio_temporal']
328,I think something's off the speed drop near Sengkang just now?,['spatio_temporal']
329,Show me what caused the jam along Thomson Road since morning?,"['causal_analysis', 'traffic_impact']"
330,I suspect if there's an incident near CTE Braddell for the evening peak?,"['incident_detection', 'spatio_temporal']"
331,Can we confirm roadwork impact near Sengkang and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
332,Any idea why today’s accidents along the PIE since morning?,"['causal_analysis', 'incident_detection']"
333,Can we confirm travel time delays in the northern sector but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
334,I think something's off the spatio-temporal pattern along the PIE if possible.,['spatio_temporal']
335,Could you find out the impact level along the PIE in simple terms pls.,['traffic_impact']
336,Could you find out the congestion trend around Punggol and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
337,Is there any update on any anomalies around Toa Payoh excluding heavy traffic alerts.,"['traffic_anomaly', 'spatio_temporal']"
338,Need info on if sensors are behaving weird along the PIE in simple terms pls.,['traffic_anomaly']
339,Is there any update on why traffic is slowing down along Thomson Road,['causal_analysis']
340,Someone reported recent breakdowns around Toa Payoh excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
341,Any idea why whether weather is affecting traffic in the northern sector just now?,"['causal_analysis', 'spatio_temporal', 'meta_attributes']"
342,Looks like the speed drop at AYE westbound no visualisation needed.,['visualization']
343,I think something's off accident clusters for the evening peak?,['incident_detection']
344,Someone reported whether it's due to roadwork around Woodlands checkpoint no visualisation needed.,"['spatio_temporal', 'visualization']"
345,Looks like incident severity around Jurong East,"['incident_detection', 'incident_classification', 'spatio_temporal']"
346,I'm seeing unusual readings near the congestion trend along Thomson Road,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
347,Someone reported today’s accidents near CTE Braddell,"['incident_detection', 'spatio_temporal']"
348,I suspect whether it's due to roadwork along Thomson Road just now?,[]
349,Double check if sensors are behaving weird around Toa Payoh right now?,"['traffic_anomaly', 'spatio_temporal']"
350,I think something's off incident severity around Toa Payoh,"['incident_detection', 'incident_classification', 'spatio_temporal']"
351,Please pull up what caused the jam around Toa Payoh and show a quick chart.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
352,Help me understand what caused the jam near Changi no visualisation needed.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
353,Not sure but looks like accident clusters around Marina Bay just now?,"['incident_detection', 'spatio_temporal']"
354,Help me understand the spatio-temporal pattern near CTE Braddell for the evening peak?,['spatio_temporal']
355,Help me understand forecast for the next hour around Marina Bay just now?,"['traffic_forecasting', 'spatio_temporal']"
356,Help me understand accident clusters in the northern sector for the evening peak?,"['incident_detection', 'spatio_temporal']"
357,Not sure but looks like the speed drop near KPE tunnels no visualisation needed.,"['spatio_temporal', 'visualization']"
358,Do we know recent breakdowns downtown CBD without the minor events.,['incident_detection']
359,Could you find out travel time delays at expressway interchanges and show a quick chart.,"['traffic_impact', 'visualization']"
360,Someone reported forecast for the next hour around Jurong East for the evening peak?,"['traffic_forecasting', 'spatio_temporal']"
361,Any idea why travel time delays at expressway interchanges for the last hour?,"['causal_analysis', 'traffic_impact']"
362,Can we confirm today’s accidents around Punggol in simple terms pls.,"['incident_detection', 'spatio_temporal']"
363,Please pull up what caused the jam central region for the evening peak?,"['causal_analysis', 'traffic_impact']"
364,Double check the speed drop along Thomson Road just now?,[]
365,Show me recent breakdowns around Toa Payoh,"['incident_detection', 'spatio_temporal']"
366,I suspect whether weather is affecting traffic around Jurong East for the last hour?,"['spatio_temporal', 'meta_attributes']"
367,Double check why traffic is slowing down downtown CBD and check weather too.,"['causal_analysis', 'meta_attributes']"
368,Do we know what caused the jam downtown CBD excluding heavy traffic alerts.,"['causal_analysis', 'traffic_impact']"
369,Double check whether it's due to roadwork at AYE westbound,[]
370,Pls show accident clusters near Changi just now?,"['incident_detection', 'spatio_temporal']"
371,Double check roadwork impact around Jurong East for the last hour?,"['spatio_temporal', 'traffic_impact']"
372,Quick check: the volume spike near Changi for the evening peak?,['spatio_temporal']
373,Looks like the congestion trend downtown CBD just now?,['traffic_impact']
374,Is there any update on the spatio-temporal pattern at expressway interchanges since morning?,['spatio_temporal']
375,Can you check whether it's due to roadwork around Jurong East today?,['spatio_temporal']
376,I think something's off forecast for the next hour around Toa Payoh and show a quick chart.,"['traffic_forecasting', 'spatio_temporal', 'visualization']"
377,Can we confirm incident severity around Woodlands checkpoint and show a quick chart.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'visualization']"
378,Can we confirm post-incident recovery around Punggol for the last hour?,"['incident_detection', 'spatio_temporal']"
379,Show me what caused the jam around Woodlands checkpoint and compare with yesterday.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
380,Someone reported any anomalies near KPE tunnels in simple terms pls.,"['traffic_anomaly', 'spatio_temporal']"
381,Not sure but looks like what caused the jam near KPE tunnels if possible.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
382,Someone reported whether it's due to roadwork near Sengkang and compare with yesterday.,['spatio_temporal']
383,Show me travel time delays around Punggol without the minor events.,"['spatio_temporal', 'traffic_impact']"
384,Quick check: if there's an incident near KPE tunnels no visualisation needed.,"['incident_detection', 'spatio_temporal', 'visualization']"
385,Please pull up the spatio-temporal pattern along Thomson Road but don't forecast anything yet.,['spatio_temporal']
386,Quick check: recent breakdowns near CTE Braddell and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
387,Pls show roadwork impact at AYE westbound and show a quick chart.,"['traffic_impact', 'visualization']"
388,Pls show whether weather is affecting traffic around Woodlands checkpoint,"['spatio_temporal', 'meta_attributes']"
389,Double check the impact level along Thomson Road since morning?,['traffic_impact']
390,Help me understand roadwork impact at AYE westbound,['traffic_impact']
391,Show me roadwork impact around Toa Payoh for the evening peak?,"['spatio_temporal', 'traffic_impact']"
392,Can you check accident clusters along Thomson Road for the last hour?,['incident_detection']
393,Quick check: the spatio-temporal pattern in the northern sector and show a quick chart.,"['spatio_temporal', 'visualization']"
394,Pls show what caused the jam near Changi,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
395,Could you find out incident severity along the PIE,"['incident_detection', 'incident_classification']"
396,I'm seeing unusual readings near the speed drop near KPE tunnels right now?,"['traffic_anomaly', 'spatio_temporal']"
397,Pls show roadwork impact along the PIE and check weather too.,"['traffic_impact', 'meta_attributes']"
398,Double check what caused the jam near KPE tunnels and show a quick chart.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
399,Quick check: travel time delays downtown CBD for the evening peak?,['traffic_impact']
400,Not sure but looks like the volume spike along the PIE and show a quick chart.,['visualization']
401,Is there any update on the congestion trend at expressway interchanges excluding heavy traffic alerts.,['traffic_impact']
402,Someone reported today’s accidents near KPE tunnels without the minor events.,"['incident_detection', 'spatio_temporal']"
403,Someone reported whether it's due to roadwork in the northern sector for the last hour?,['spatio_temporal']
404,"Hey, can you check if there's an incident and compare with yesterday.",['incident_detection']
405,Show me if sensors are behaving weird around Jurong East right now?,"['traffic_anomaly', 'spatio_temporal']"
406,I suspect the volume spike near Changi excluding heavy traffic alerts.,['spatio_temporal']
407,Pls show whether weather is affecting traffic near CTE Braddell but don't forecast anything yet.,"['spatio_temporal', 'meta_attributes']"
408,Do we know the impact level around Punggol no visualisation needed.,"['spatio_temporal', 'traffic_impact', 'visualization']"
409,Double check the congestion trend near CTE Braddell excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
410,Someone reported incident severity along the PIE for the evening peak?,"['incident_detection', 'incident_classification']"
411,Not sure but looks like today’s accidents around Jurong East for the last hour?,"['incident_detection', 'spatio_temporal']"
412,Show me forecast for the next hour central region and compare with yesterday.,['traffic_forecasting']
413,Quick check: the volume spike around Toa Payoh excluding heavy traffic alerts.,['spatio_temporal']
414,"Hey, can you check the impact level near KPE tunnels and compare with yesterday.","['spatio_temporal', 'traffic_impact']"
415,I think something's off post-incident recovery downtown CBD without the minor events.,['incident_detection']
416,Looks like if sensors are behaving weird along Thomson Road,['traffic_anomaly']
417,Can you check incident severity just now?,"['incident_detection', 'incident_classification']"
418,I think something's off if sensors are behaving weird around Punggol for the last hour?,"['traffic_anomaly', 'spatio_temporal']"
419,Looks like the spatio-temporal pattern central region but don't forecast anything yet.,['spatio_temporal']
420,Someone reported recent breakdowns around Jurong East for the last hour?,"['incident_detection', 'spatio_temporal']"
421,"Hey, can you check what caused the jam around Jurong East but don't forecast anything yet.","['causal_analysis', 'spatio_temporal', 'traffic_impact']"
422,Could you find out post-incident recovery near Sengkang without the minor events.,"['incident_detection', 'spatio_temporal']"
423,Please pull up recent breakdowns in the northern sector excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
424,Please pull up forecast for the next hour in the northern sector for the evening peak?,"['traffic_forecasting', 'spatio_temporal']"
425,Someone reported roadwork impact near Sengkang and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
426,Show me if there's an incident near Changi and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
427,Not sure but looks like roadwork impact near Changi since morning?,"['spatio_temporal', 'traffic_impact']"
428,Help me understand roadwork impact near Sengkang for the evening peak?,"['spatio_temporal', 'traffic_impact']"
429,Not sure but looks like any anomalies at AYE westbound no visualisation needed.,"['traffic_anomaly', 'visualization']"
430,Can you check why traffic is slowing down downtown CBD since morning?,['causal_analysis']
431,Please pull up whether it's due to roadwork around Toa Payoh and show a quick chart.,"['spatio_temporal', 'visualization']"
432,I think something's off today’s accidents around Woodlands checkpoint today?,"['incident_detection', 'spatio_temporal']"
433,Show me incident severity downtown CBD but don't forecast anything yet.,"['incident_detection', 'incident_classification']"
434,Someone reported roadwork impact around Punggol without the minor events.,"['spatio_temporal', 'traffic_impact']"
435,Pls show forecast for the next hour around Woodlands checkpoint no visualisation needed.,"['traffic_forecasting', 'spatio_temporal', 'visualization']"
436,Please pull up incident severity near Sengkang without the minor events.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
437,I'm seeing unusual readings near recent breakdowns near Changi and check weather too.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal', 'meta_attributes']"
438,Can we confirm roadwork impact right now?,['traffic_impact']
439,I think something's off incident severity along Thomson Road right now?,"['incident_detection', 'incident_classification']"
440,Do we know traffic situation near KPE tunnels and check weather too.,"['spatio_temporal', 'meta_attributes']"
441,Double check roadwork impact around Marina Bay and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
442,I suspect the congestion trend along the PIE and check weather too.,"['traffic_impact', 'meta_attributes']"
443,I'm seeing unusual readings near any anomalies in the northern sector today?,"['traffic_anomaly', 'spatio_temporal']"
444,Can you check travel time delays downtown CBD but don't forecast anything yet.,['traffic_impact']
445,Double check the volume spike near Sengkang right now?,['spatio_temporal']
446,Could you find out if there's an incident at expressway interchanges just now?,['incident_detection']
447,Is there any update on the congestion trend downtown CBD without the minor events.,['traffic_impact']
448,Could you find out today’s accidents at AYE westbound and check weather too.,"['incident_detection', 'meta_attributes']"
449,I suspect roadwork impact around Jurong East excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
450,Do we know the impact level near CTE Braddell right now?,"['spatio_temporal', 'traffic_impact']"
451,Can we confirm if sensors are behaving weird downtown CBD and compare with yesterday.,['traffic_anomaly']
452,Help me understand the congestion trend in the northern sector in simple terms pls.,"['spatio_temporal', 'traffic_impact']"
453,Do we know traffic situation at AYE westbound right now?,[]
454,Looks like the speed drop at AYE westbound for the evening peak?,[]
455,Can we confirm whether it's due to roadwork near KPE tunnels no visualisation needed.,"['spatio_temporal', 'visualization']"
456,Need info on the congestion trend near KPE tunnels but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
457,Need info on forecast for the next hour downtown CBD and compare with yesterday.,['traffic_forecasting']
458,Looks like whether weather is affecting traffic around Jurong East today?,"['spatio_temporal', 'meta_attributes']"
459,Looks like post-incident recovery around Woodlands checkpoint for the last hour?,"['incident_detection', 'spatio_temporal']"
460,Quick check: accident clusters around Toa Payoh for the evening peak?,"['incident_detection', 'spatio_temporal']"
461,Could you find out any anomalies along the PIE since morning?,['traffic_anomaly']
462,Can we confirm if there's an incident along Thomson Road but don't forecast anything yet.,['incident_detection']
463,I suspect what caused the jam near Changi and show a quick chart.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
464,Is there any update on recent breakdowns around Woodlands checkpoint since morning?,"['incident_detection', 'spatio_temporal']"
465,Can you check travel time delays around Toa Payoh excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
466,Do we know today’s accidents central region no visualisation needed.,"['incident_detection', 'visualization']"
467,"Hey, can you check the speed drop at expressway interchanges and check weather too.",['meta_attributes']
468,Please pull up the speed drop in the northern sector,['spatio_temporal']
469,"Hey, can you check whether weather is affecting traffic central region for the last hour?",['meta_attributes']
470,I'm seeing unusual readings near incident severity at expressway interchanges right now?,"['incident_detection', 'incident_classification', 'traffic_anomaly', 'spatio_temporal']"
471,Is there any update on traffic situation around Toa Payoh and show a quick chart.,"['spatio_temporal', 'visualization']"
472,Show me what caused the jam in the northern sector just now?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
473,I think something's off the speed drop around Woodlands checkpoint if possible.,['spatio_temporal']
474,Can you check incident severity near CTE Braddell but don't forecast anything yet.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
475,Is there any update on if there's an incident downtown CBD for the last hour?,['incident_detection']
476,Looks like accident clusters at AYE westbound without the minor events.,['incident_detection']
477,"Hey, can you check recent breakdowns around Toa Payoh no visualisation needed.","['incident_detection', 'spatio_temporal', 'visualization']"
478,Quick check: travel time delays near Changi just now?,"['spatio_temporal', 'traffic_impact']"
479,Need info on accident clusters at expressway interchanges,['incident_detection']
480,Need info on forecast for the next hour around Toa Payoh but don't forecast anything yet.,['spatio_temporal']
481,I'm seeing unusual readings near why traffic is slowing down near CTE Braddell no visualisation needed.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal', 'visualization']"
482,Help me understand the speed drop near Sengkang without the minor events.,['spatio_temporal']
483,Can you check the impact level at expressway interchanges and compare with yesterday.,['traffic_impact']
484,Is there any update on forecast for the next hour at expressway interchanges right now?,['traffic_forecasting']
485,Pls show if there's an incident in the northern sector right now?,"['incident_detection', 'spatio_temporal']"
486,Double check the speed drop near Sengkang no visualisation needed.,"['spatio_temporal', 'visualization']"
487,Quick check: recent breakdowns near CTE Braddell since morning?,"['incident_detection', 'spatio_temporal']"
488,Any idea why why traffic is slowing down along the PIE,['causal_analysis']
489,Need info on incident severity near Sengkang and compare with yesterday.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
490,Quick check: the volume spike in the northern sector for the evening peak?,['spatio_temporal']
491,Can you check if there's an incident near Sengkang just now?,"['incident_detection', 'spatio_temporal']"
492,I suspect the impact level around Toa Payoh,"['spatio_temporal', 'traffic_impact']"
493,Please pull up the impact level around Toa Payoh today?,"['spatio_temporal', 'traffic_impact']"
494,Quick check: incident severity near Changi and check weather too.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'meta_attributes']"
495,Help me understand what caused the jam around Toa Payoh no visualisation needed.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
496,Double check what caused the jam near Sengkang and check weather too.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'meta_attributes']"
497,Quick check: forecast for the next hour downtown CBD in simple terms pls.,['traffic_forecasting']
498,Can we confirm the spatio-temporal pattern near KPE tunnels excluding heavy traffic alerts.,['spatio_temporal']
499,Any idea why any anomalies near KPE tunnels,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
500,Looks like traffic situation downtown CBD for the evening peak?,[]
501,Double check post-incident recovery around Woodlands checkpoint if possible.,"['incident_detection', 'spatio_temporal']"
502,Quick check: why traffic is slowing down along the PIE without the minor events.,['causal_analysis']
503,Show me incident severity near Sengkang no visualisation needed.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'visualization']"
504,I think something's off the congestion trend central region just now?,['traffic_impact']
505,Any idea why whether weather is affecting traffic downtown CBD,"['causal_analysis', 'meta_attributes']"
506,Do we know recent breakdowns at expressway interchanges and check weather too.,"['incident_detection', 'meta_attributes']"
507,Need info on the speed drop around Woodlands checkpoint since morning?,['spatio_temporal']
508,Any idea why recent breakdowns around Jurong East if possible.,"['causal_analysis', 'incident_detection', 'spatio_temporal']"
509,Is there any update on the volume spike along the PIE for the evening peak?,[]
510,Pls show the spatio-temporal pattern in the northern sector for the evening peak?,['spatio_temporal']
511,Someone reported whether it's due to roadwork near Sengkang in simple terms pls.,['spatio_temporal']
512,I think something's off if sensors are behaving weird at expressway interchanges if possible.,['traffic_anomaly']
513,Is there any update on forecast for the next hour around Marina Bay right now?,"['traffic_forecasting', 'spatio_temporal']"
514,Pls show the volume spike at AYE westbound for the last hour?,[]
515,"Hey, can you check what caused the jam at expressway interchanges but don't forecast anything yet.","['causal_analysis', 'traffic_impact']"
516,Looks like roadwork impact along the PIE without the minor events.,['traffic_impact']
517,I think something's off the congestion trend around Marina Bay just now?,"['spatio_temporal', 'traffic_impact']"
518,Is there any update on travel time delays around Marina Bay since morning?,"['spatio_temporal', 'traffic_impact']"
519,Need info on the volume spike central region just now?,[]
520,Show me what caused the jam along the PIE and show a quick chart.,"['causal_analysis', 'traffic_impact', 'visualization']"
521,Help me understand the volume spike at expressway interchanges for the last hour?,[]
522,Any idea why the speed drop along Thomson Road if possible.,['causal_analysis']
523,Please pull up recent breakdowns near Changi if possible.,"['incident_detection', 'spatio_temporal']"
524,Could you find out why traffic is slowing down at expressway interchanges no visualisation needed.,"['causal_analysis', 'visualization']"
525,Pls show traffic situation at expressway interchanges since morning?,[]
526,Could you find out recent breakdowns around Jurong East today?,"['incident_detection', 'spatio_temporal']"
527,Any idea why the congestion trend near Changi excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
528,Any idea why roadwork impact in the northern sector since morning?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
529,Pls show the speed drop around Marina Bay without the minor events.,['spatio_temporal']
530,I suspect the spatio-temporal pattern along Thomson Road since morning?,['spatio_temporal']
531,Do we know post-incident recovery at AYE westbound,['incident_detection']
532,Not sure but looks like the impact level downtown CBD,['traffic_impact']
533,I'm seeing unusual readings near if sensors are behaving weird right now?,"['traffic_anomaly', 'spatio_temporal']"
534,Help me understand any anomalies around Punggol excluding heavy traffic alerts.,"['traffic_anomaly', 'spatio_temporal']"
535,Please pull up roadwork impact around Woodlands checkpoint for the evening peak?,"['spatio_temporal', 'traffic_impact']"
536,Do we know the spatio-temporal pattern around Jurong East but don't forecast anything yet.,['spatio_temporal']
537,Can we confirm what caused the jam central region and check weather too.,"['causal_analysis', 'traffic_impact', 'meta_attributes']"
538,Please pull up if there's an incident near Sengkang since morning?,"['incident_detection', 'spatio_temporal']"
539,I suspect whether it's due to roadwork at expressway interchanges without the minor events.,[]
540,Double check the impact level right now?,['traffic_impact']
541,Pls show today’s accidents around Punggol,"['incident_detection', 'spatio_temporal']"
542,Looks like post-incident recovery and show a quick chart.,"['incident_detection', 'visualization']"
543,Need info on incident severity around Marina Bay in simple terms pls.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
544,Can we confirm the spatio-temporal pattern near Changi and compare with yesterday.,['spatio_temporal']
545,Is there any update on any anomalies around Woodlands checkpoint if possible.,"['traffic_anomaly', 'spatio_temporal']"
546,I think something's off today’s accidents at expressway interchanges,['incident_detection']
547,Double check whether it's due to roadwork near Changi if possible.,['spatio_temporal']
548,Looks like the spatio-temporal pattern at AYE westbound today?,['spatio_temporal']
549,Not sure but looks like what caused the jam near CTE Braddell and check weather too.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'meta_attributes']"
550,I think something's off incident severity in the northern sector for the last hour?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
551,Do we know accident clusters near Sengkang excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
552,Show me whether weather is affecting traffic central region just now?,['meta_attributes']
553,Not sure but looks like whether it's due to roadwork along Thomson Road but don't forecast anything yet.,[]
554,Can you check if sensors are behaving weird around Punggol and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
555,"Hey, can you check the speed drop in the northern sector",['spatio_temporal']
556,Please pull up why traffic is slowing down near Changi,"['causal_analysis', 'spatio_temporal']"
557,Can you check post-incident recovery around Punggol since morning?,"['incident_detection', 'spatio_temporal']"
558,I think something's off traffic situation around Marina Bay in simple terms pls.,['spatio_temporal']
559,Show me if there's an incident at AYE westbound if possible.,['incident_detection']
560,I think something's off whether weather is affecting traffic around Marina Bay but don't forecast anything yet.,"['spatio_temporal', 'meta_attributes']"
561,Is there any update on travel time delays near CTE Braddell no visualisation needed.,"['spatio_temporal', 'traffic_impact', 'visualization']"
562,Pls show whether weather is affecting traffic in the northern sector,"['spatio_temporal', 'meta_attributes']"
563,Can we confirm recent breakdowns along the PIE and check weather too.,"['incident_detection', 'meta_attributes']"
564,"Hey, can you check the volume spike in the northern sector no visualisation needed.","['spatio_temporal', 'visualization']"
565,Double check whether weather is affecting traffic at expressway interchanges right now?,['meta_attributes']
566,I'm seeing unusual readings near why traffic is slowing down downtown CBD no visualisation needed.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal', 'visualization']"
567,Help me understand why traffic is slowing down excluding heavy traffic alerts.,['causal_analysis']
568,Could you find out whether it's due to roadwork,[]
569,Not sure but looks like if sensors are behaving weird around Woodlands checkpoint no visualisation needed.,"['traffic_anomaly', 'spatio_temporal', 'visualization']"
570,"Hey, can you check recent breakdowns around Toa Payoh","['incident_detection', 'spatio_temporal']"
571,Can you check travel time delays near CTE Braddell and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
572,Is there any update on incident severity in the northern sector right now?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
573,Can we confirm today’s accidents downtown CBD,['incident_detection']
574,Not sure but looks like forecast for the next hour at AYE westbound today?,['traffic_forecasting']
575,Quick check: forecast for the next hour around Punggol since morning?,"['traffic_forecasting', 'spatio_temporal']"
576,Is there any update on what caused the jam along the PIE but don't forecast anything yet.,"['causal_analysis', 'traffic_impact']"
577,I think something's off recent breakdowns near KPE tunnels for the evening peak?,"['incident_detection', 'spatio_temporal']"
578,Show me roadwork impact along Thomson Road but don't forecast anything yet.,['traffic_impact']
579,I suspect whether it's due to roadwork around Punggol and compare with yesterday.,['spatio_temporal']
580,Do we know accident clusters around Toa Payoh but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
581,Can you check what caused the jam around Marina Bay excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
582,Show me traffic situation around Woodlands checkpoint and compare with yesterday.,['spatio_temporal']
583,Can you check whether weather is affecting traffic near Sengkang since morning?,"['spatio_temporal', 'meta_attributes']"
584,"Hey, can you check if there's an incident in the northern sector for the evening peak?","['incident_detection', 'spatio_temporal']"
585,Any idea why the impact level around Woodlands checkpoint if possible.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
586,Pls show traffic situation at AYE westbound and compare with yesterday.,[]
587,Do we know if there's an incident central region if possible.,['incident_detection']
588,I think something's off roadwork impact near Changi for the last hour?,"['spatio_temporal', 'traffic_impact']"
589,Please pull up the impact level around Marina Bay if possible.,"['spatio_temporal', 'traffic_impact']"
590,I suspect the speed drop at AYE westbound today?,[]
591,I'm seeing unusual readings near why traffic is slowing down at expressway interchanges but don't forecast anything yet.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
592,Looks like whether weather is affecting traffic along the PIE since morning?,['meta_attributes']
593,Could you find out forecast for the next hour around Woodlands checkpoint just now?,"['traffic_forecasting', 'spatio_temporal']"
594,Pls show the impact level downtown CBD just now?,['traffic_impact']
595,I think something's off the impact level around Marina Bay excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
596,I think something's off recent breakdowns at AYE westbound no visualisation needed.,"['incident_detection', 'visualization']"
597,Could you find out recent breakdowns around Marina Bay without the minor events.,"['incident_detection', 'spatio_temporal']"
598,Not sure but looks like post-incident recovery near Changi but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
599,I'm seeing unusual readings near whether weather is affecting traffic near KPE tunnels and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal', 'meta_attributes']"
600,"Hey, can you check travel time delays central region since morning?",['traffic_impact']
601,I think something's off the congestion trend around Punggol just now?,"['spatio_temporal', 'traffic_impact']"
602,Is there any update on accident clusters downtown CBD and check weather too.,"['incident_detection', 'meta_attributes']"
603,Can you check roadwork impact around Marina Bay since morning?,"['spatio_temporal', 'traffic_impact']"
604,Looks like the speed drop at expressway interchanges for the last hour?,[]
605,Show me recent breakdowns near Changi right now?,"['incident_detection', 'spatio_temporal']"
606,Pls show why traffic is slowing down around Marina Bay if possible.,"['causal_analysis', 'spatio_temporal']"
607,"Hey, can you check traffic situation downtown CBD since morning?",[]
608,Do we know any anomalies near Changi for the last hour?,"['traffic_anomaly', 'spatio_temporal']"
609,Double check post-incident recovery along the PIE in simple terms pls.,['incident_detection']
610,Is there any update on what caused the jam around Jurong East,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
611,Could you find out the speed drop in the northern sector for the last hour?,['spatio_temporal']
612,I suspect roadwork impact at expressway interchanges,['traffic_impact']
613,Need info on the spatio-temporal pattern around Woodlands checkpoint if possible.,['spatio_temporal']
614,Quick check: forecast for the next hour downtown CBD right now?,['traffic_forecasting']
615,Someone reported any anomalies but don't forecast anything yet.,['traffic_anomaly']
616,Show me accident clusters along the PIE and check weather too.,"['incident_detection', 'meta_attributes']"
617,"Hey, can you check why traffic is slowing down near CTE Braddell no visualisation needed.","['causal_analysis', 'spatio_temporal', 'visualization']"
618,Can we confirm why traffic is slowing down near Changi and show a quick chart.,"['causal_analysis', 'spatio_temporal', 'visualization']"
619,Pls show traffic situation in the northern sector if possible.,['spatio_temporal']
620,Not sure but looks like if sensors are behaving weird around Punggol,"['traffic_anomaly', 'spatio_temporal']"
621,Double check roadwork impact around Jurong East,"['spatio_temporal', 'traffic_impact']"
622,Looks like whether it's due to roadwork around Toa Payoh and check weather too.,"['spatio_temporal', 'meta_attributes']"
